Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6rjuKpPydT2SxN15TZpV7r,"500lbs","TEC","Lil Tecca",2023-09-22,144390,79,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T18:57:47Z,"melodic rap,rap","Galactic Records/Lil Tecca",0.724,0.779,7,-5.412,0,0.0807,0.098,0,0.127,0.53,123.013,4
spotify:track:0ITaSRuI0L1RNL7ZNYTTi7,"U Are My High (with Future)","U Are My High (with Future)","DJ Snake;Future",2021-12-03,211200,72,false,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T18:58:00Z,"rap","DJ Snake Music Productions Limited",0.602,0.824,0,-4.087,0,0.0547,0.0867,0,0.0947,0.442,125.147,4
spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,"Trance (with Travis Scott & Young Thug)","HEROES & VILLAINS","Metro Boomin;Travis Scott;Young Thug",2022-12-02,194786,81,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T18:58:05Z,"rap,melodic rap,trap","Republic Records",0.765,0.552,1,-7.524,0,0.309,0.175,0,0.193,0.492,119.476,4
spotify:track:52NGJPcLUzQq5w7uv4e5gf,"Private Landing (feat. Justin Bieber & Future)","Love Sick","Don Toliver;Justin Bieber;Future",2023-02-24,238253,77,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T18:58:10Z,"rap","Cactus Jack / Atlantic",0.858,0.641,1,-4.31,0,0.0954,0.111,0.0000212,0.109,0.445,136.991,4
spotify:track:2lXQX3uhFHRYGBE6xR3tic,"Never Lose Me (feat. Lil Yachty)","Never Lose Me (feat. Lil Yachty)","Flo Milli;Lil Yachty",2023-12-01,165245,59,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T18:58:22Z,"","'94 Sounds/RCA Records",0.786,0.504,1,-7.678,1,0.0938,0.0332,0,0.0979,0.346,121.967,4
spotify:track:2yUzr8Sr6ldG8vmHhZwTnz,"née-nah","american dream","21 Savage;Travis Scott;Metro Boomin",2024-01-12,220584,70,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T18:58:27Z,"rap","Slaughter Gang, LLC/Epic Records",0.681,0.758,1,-6.524,1,0.188,0.00465,0,0.555,0.331,165.409,4
spotify:track:4kjI1gwQZRKNDkw1nI475M,"MY EYES","UTOPIA","Travis Scott",2023-07-28,251249,80,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T18:58:32Z,"rap","Cactus Jack/Epic",0.455,0.621,0,-7.694,0,0.0517,0.651,0.00000259,0.123,0.28,119.043,4
spotify:track:52eIcoLUM25zbQupAZYoFh,"redrum","american dream","21 Savage",2024-01-12,270697,78,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T18:58:43Z,"","Slaughter Gang, LLC/Epic Records",0.625,0.733,2,-8.757,1,0.0488,0.00598,0.000983,0.375,0.244,172.09,4
spotify:track:50kWigrg0O9DFUzzbgJMZO,"jersey luv","jersey luv","GROOVY;B Jack$",2023-02-01,231090,57,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T18:59:15Z,"jersey club,sexy drill","Defiant Records/Warner Records",0.347,0.698,1,-6.691,0,0.186,0.524,0,0.127,0.312,156.122,4
spotify:track:57wp7VFnV8X0pSVnYArGeJ,"Whatever She Wants","Whatever She Wants","Bryson Tiller",2024-02-13,161342,77,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T18:59:43Z,"trap soul,r&b","TrapSoul/RCA Records",0.803,0.512,9,-6.871,0,0.066,0.128,0,0.0928,0.435,96.02,4
spotify:track:7iTTWHbr4tAlsRJN4m4bay,"Strike (Holster)","Strike (Holster)","Lil Yachty",2023-04-07,148115,61,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T18:59:51Z,"","Quality Control Music/Motown Records",0.854,0.639,8,-5.261,1,0.208,0.0695,0,0.0698,0.7,143,4
spotify:track:2GAhgAjOhEmItWLfgisyOn,"Low","SOS","SZA",2022-12-09,181080,75,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T18:59:57Z,"r&b","Top Dawg Entertainment/RCA Records",0.698,0.546,0,-7.234,0,0.0559,0.425,0.00314,0.16,0.335,145.044,4
spotify:track:7EB2UpfRbS4QVjZQlKLi3Z,"Promise U That","Future Hndrxx Presents: The WIZRD","Future",2019-01-18,205422,52,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T19:00:23Z,"rap","Epic/Freebandz",0.638,0.568,1,-6.579,0,0.159,0.338,0,0.487,0.446,127.806,4
spotify:track:2hyfepwCRQsenxVLzsaOtA,"Her Way","PARTYNEXTDOOR TWO","PARTYNEXTDOOR",2014-07-29,216630,0,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T19:00:31Z,"dark r&b,r&b,trap soul","OVO Sound/Warner Records",0.545,0.487,1,-9.529,1,0.0285,0.0544,0.000885,0.0872,0.119,111.317,4
spotify:track:7CIvyuVoWcY0LgUYa1aR5J,"SOLO STEPPIN CRETE BOY","Slide","Lil Yachty",2023-08-04,149333,65,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T19:00:48Z,"","Quality Control Music/Motown Records",0.758,0.66,8,-6.799,0,0.0756,0.038,0,0.175,0.551,90.02,4
spotify:track:0TTOsyDKykWhCh3qDd9wMY,"Talibans","No Love","Byron Messia",2023-01-20,188737,62,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T19:00:54Z,"dancehall,afrobeats,afrobeat","Simple Stupid Records/Geffen Records",0.929,0.43,4,-9.338,0,0.206,0.571,0,0.105,0.498,102.991,4
spotify:track:1eEyUIZdsMrjdjm6Tiqsqp,"Life Has Changed","Life Has Changed","Alex Jean",2022-12-04,160964,0,false,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T19:00:59Z,"christian hip hop,gospel r&b,christian,christian pop","1095026 Records DK2",0.75,0.719,2,-3.187,1,0.261,0.216,0.0000261,0.101,0.438,83.582,4
spotify:track:5aIVCx5tnk0ntmdiinnYvw,"Water","Water","Tyla",2023-07-28,200255,82,false,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T19:01:34Z,"afrobeats","FAX Records/Epic",0.673,0.722,3,-3.495,0,0.0755,0.0856,0,0.137,0.519,117.187,4
spotify:track:2Hh3ETdQKrmSI3QS0hme7g,"Too Many Nights (feat. Don Toliver & with Future)","HEROES & VILLAINS","Metro Boomin;Future;Don Toliver",2022-12-02,199920,82,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T19:02:57Z,"rap","Republic Records",0.573,0.668,7,-4.356,0,0.0467,0.189,0.0000401,0.109,0.145,87.973,4
spotify:track:1bDbXMyjaUIooNwFE9wn0N,"Rich Flex","Her Loss","Drake;21 Savage",2022-11-04,239359,75,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T19:03:01Z,"rap","OVO / Republic Records",0.549,0.518,4,-9.39,0,0.257,0.0517,0.00000121,0.378,0.418,160.07,4
spotify:track:1icgLGTpX2fQXKRe4D7w2b,"BACK TO ME","VULTURES 1","¥$;Kanye West;Ty Dolla $ign",2024-02-09,295471,2,true,31rantt4mpkks7hljzrzl2psvb2y,2024-02-23T19:03:24Z,"rap,trap soul","Ye",0.809,0.788,1,-7.217,1,0.0889,0.00108,0,0.0625,0.344,95.637,4
